term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000398,"mRNA splicing, via spliceosome",0.423%,-5.262,-5.857,2.571,-9.4949,0.736,0.000,398,0
GO:0000289,"nuclear-transcribed mRNA poly(A) tail shortening",0.049%,null,null,1.643,-1.4012,0.720,0.879,398,1
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",0.033%,null,null,1.477,-1.4451,0.783,0.742,398,1
GO:0000956,"nuclear-transcribed mRNA catabolic process",0.245%,null,null,2.334,-1.5487,0.708,0.777,398,1
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.423%,null,null,2.571,-9.4949,0.741,0.993,398,1
GO:0000375,"RNA splicing, via transesterification reactions",0.428%,null,null,2.576,-9.2007,0.742,0.916,398,1
GO:0045292,"mRNA cis splicing, via spliceosome",0.024%,null,null,1.342,-2.5935,0.784,0.789,398,1
GO:0008380,"RNA splicing",0.652%,null,null,2.758,-8.2757,0.738,0.771,398,1
GO:0006397,"mRNA processing",0.818%,null,null,2.857,-7.2366,0.728,0.869,398,1
GO:0006400,"tRNA modification",0.139%,null,null,2.090,-1.3813,0.739,0.800,398,1
GO:0031124,"mRNA 3'-end processing",0.147%,null,null,2.114,-2.4271,0.759,0.795,398,1
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.161%, 1.460, 2.875,2.152,-2.4672,0.975,0.000,2479,0
GO:0002478,"antigen processing and presentation of exogenous peptide antigen",0.296%,null,null,2.417,-1.8719,0.974,0.946,2479,1
GO:0042590,"antigen processing and presentation of exogenous peptide antigen via MHC class I",0.166%,null,null,2.167,-2.3575,0.975,0.905,2479,1
GO:0035962,"response to interleukin-13",0.007%, 1.456, 0.914,0.845,-1.9307,0.981,0.000,35962,0
GO:0043902,"positive regulation of multi-organism process",0.101%, 0.522, 2.426,1.954,-2.7670,0.913,0.000,43902,0
GO:0051668,"localization within membrane",0.075%, 1.886, 1.478,1.826,-2.2284,0.969,0.000,51668,0
GO:0051704,"multi-organism process",4.431%, 1.983, 0.356,3.590,-2.1612,0.994,0.000,51704,0
GO:0071840,"cellular component organization or biogenesis",12.603%, 2.097, 0.475,4.044,-1.3266,0.994,0.000,71840,0
GO:0010025,"wax biosynthetic process",0.003%,-1.052,-1.122,0.602,-2.3893,0.939,0.035,10025,0
GO:0010166,"wax metabolic process",0.003%, 2.058, 0.341,0.602,-2.3893,0.958,0.035,10166,0
GO:0051276,"chromosome organization",2.327%, 5.929,-5.560,3.310,-4.7696,0.773,0.045,51276,0
GO:1902589,"single-organism organelle organization",5.234%,null,null,3.662,-3.6576,0.730,0.736,51276,1
GO:0007049,"cell cycle",3.703%, 0.726, 0.161,3.512,-3.9208,0.895,0.059,7049,0
GO:0009056,"catabolic process",7.851%,-0.365, 0.879,3.838,-2.4401,0.925,0.068,9056,0
GO:0006044,"N-acetylglucosamine metabolic process",0.040%, 0.631, 0.012,1.556,-1.6523,0.922,0.073,6044,0
GO:0009404,"toxin metabolic process",0.038%,-0.440,-0.734,1.531,-2.3468,0.875,0.077,9404,0
GO:0031424,"keratinization",0.067%, 1.589, 3.643,1.778,-1.7902,0.901,0.082,31424,0
GO:0002093,"auditory receptor cell morphogenesis",0.031%,null,null,1.447,-1.4451,0.822,0.747,31424,1
GO:0072331,"signal transduction by p53 class mediator",0.265%,-0.877, 0.025,2.369,-1.4695,0.839,0.094,72331,0
GO:0007059,"chromosome segregation",0.438%, 0.873, 0.120,2.585,-1.5952,0.913,0.099,7059,0
GO:0046483,"heterocycle metabolic process",24.799%,-3.872,-2.010,4.338,-3.2076,0.829,0.146,46483,0
GO:0051436,"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",0.076%,-3.856,-3.953,1.833,-4.1805,0.583,0.160,51436,0
GO:0032269,"negative regulation of cellular protein metabolic process",1.093%,null,null,2.982,-1.3868,0.656,0.930,51436,1
GO:0051352,"negative regulation of ligase activity",0.090%,null,null,1.903,-4.4949,0.851,0.932,51436,1
GO:0051351,"positive regulation of ligase activity",0.109%,null,null,1.987,-3.1938,0.848,0.981,51436,1
GO:0031396,"regulation of protein ubiquitination",0.335%,null,null,2.470,-1.4751,0.688,0.948,51436,1
GO:0031400,"negative regulation of protein modification process",0.868%,null,null,2.883,-1.3180,0.654,0.749,51436,1
GO:0051437,"positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",0.085%,null,null,1.881,-3.9208,0.575,0.980,51436,1
GO:0051438,"regulation of ubiquitin-protein transferase activity",0.128%,null,null,2.053,-3.3098,0.690,0.977,51436,1
GO:0051439,"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",0.092%,null,null,1.914,-3.7696,0.583,0.944,51436,1
GO:0031398,"positive regulation of protein ubiquitination",0.215%,null,null,2.279,-2.0255,0.684,0.853,51436,1
GO:0031397,"negative regulation of protein ubiquitination",0.149%,null,null,2.121,-3.7212,0.673,0.941,51436,1
GO:0051443,"positive regulation of ubiquitin-protein transferase activity",0.104%,null,null,1.964,-3.3279,0.681,0.960,51436,1
GO:0051444,"negative regulation of ubiquitin-protein transferase activity",0.090%,null,null,1.903,-4.4949,0.667,0.988,51436,1
GO:0006094,"gluconeogenesis",0.180%,-2.904,-1.535,2.201,-1.9303,0.847,0.162,6094,0
GO:0046364,"monosaccharide biosynthetic process",0.218%,null,null,2.283,-1.5190,0.846,0.843,6094,1
GO:0019319,"hexose biosynthetic process",0.203%,null,null,2.253,-1.7335,0.846,0.977,6094,1
GO:0019884,"antigen processing and presentation of exogenous antigen",0.303%, 0.949, 1.930,2.427,-1.8130,0.985,0.172,19884,0
GO:0031623,"receptor internalization",0.112%,-2.720,-2.771,1.996,-2.0915,0.796,0.193,31623,0
GO:0006807,"nitrogen compound metabolic process",26.566%,-1.914, 1.122,4.368,-2.7670,0.912,0.201,6807,0
GO:1901360,"organic cyclic compound metabolic process",25.430%,-3.397,-1.649,4.349,-2.7375,0.860,0.202,1901360,0
GO:0044265,"cellular macromolecule catabolic process",1.775%,-5.092,-5.162,3.193,-3.4685,0.726,0.213,44265,0
GO:0044257,"cellular protein catabolic process",1.212%,null,null,3.027,-2.8210,0.701,0.917,44265,1
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",0.459%,null,null,2.606,-3.2518,0.716,0.786,44265,1
GO:0019941,"modification-dependent protein catabolic process",1.077%,null,null,2.976,-2.6326,0.699,0.986,44265,1
GO:0043632,"modification-dependent macromolecule catabolic process",1.081%,null,null,2.978,-2.5452,0.734,0.865,44265,1
GO:0032435,"negative regulation of proteasomal ubiquitin-dependent protein catabolic process",0.034%,null,null,1.491,-1.4304,0.666,0.793,44265,1
GO:0032434,"regulation of proteasomal ubiquitin-dependent protein catabolic process",0.154%,null,null,2.134,-1.3342,0.673,0.961,44265,1
GO:0061136,"regulation of proteasomal protein catabolic process",0.179%,null,null,2.199,-1.7025,0.670,0.905,44265,1
GO:0010498,"proteasomal protein catabolic process",0.487%,null,null,2.631,-3.5528,0.719,0.819,44265,1
GO:0030163,"protein catabolic process",1.538%,null,null,3.131,-1.8884,0.743,0.902,44265,1
GO:0006401,"RNA catabolic process",0.316%,null,null,2.444,-1.7217,0.720,0.756,44265,1
GO:0051603,"proteolysis involved in cellular protein catabolic process",1.180%,null,null,3.016,-2.8182,0.697,0.970,44265,1
GO:0006511,"ubiquitin-dependent protein catabolic process",1.057%,null,null,2.968,-2.7670,0.699,0.903,44265,1
GO:0031145,"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process",0.103%,null,null,1.959,-3.3872,0.746,0.864,44265,1
GO:0006521,"regulation of cellular amino acid metabolic process",0.082%,-4.175,-1.954,1.863,-3.0315,0.763,0.218,6521,0
GO:0044106,"cellular amine metabolic process",0.343%,null,null,2.480,-1.7703,0.830,0.908,6521,1
GO:0033238,"regulation of cellular amine metabolic process",0.133%,null,null,2.072,-2.2823,0.781,0.824,6521,1
GO:0015874,"norepinephrine transport",0.042%, 2.713, 2.164,1.580,-1.9416,0.958,0.237,15874,0
GO:0051937,"catecholamine transport",0.123%,null,null,2.037,-1.4514,0.955,0.885,15874,1
GO:2000015,"regulation of determination of dorsal identity",0.014%, 1.111, 3.125,1.114,-1.6482,0.932,0.240,2000015,0
GO:0048263,"determination of dorsal identity",0.019%,null,null,1.255,-1.4451,0.956,0.980,2000015,1
