term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0009887,"organ morphogenesis",2.260%,-6.640, 2.611,3.298,-5.2076,0.596,0.000,9887,0
GO:0000902,"cell morphogenesis",2.742%,null,null,3.381,-2.1451,0.569,0.716,9887,1
GO:0000904,"cell morphogenesis involved in differentiation",1.833%,null,null,3.207,-1.5065,0.576,0.900,9887,1
GO:0032989,"cellular component morphogenesis",2.952%,null,null,3.414,-1.8611,0.573,0.743,9887,1
GO:0009987,"cellular process",59.614%,-0.060,-0.460,4.719,-1.7635,0.998,0.000,9987,0
GO:0022610,"biological adhesion",2.826%, 0.081,-0.551,3.395,-1.5025,0.995,0.000,22610,0
GO:0023052,"signaling",17.329%, 0.411,-0.702,4.182,-2.9318,0.996,0.000,23052,0
GO:0032501,"multicellular organismal process",15.657%, 0.291,-0.338,4.138,-2.2741,0.996,0.000,32501,0
GO:0032502,"developmental process",13.055%, 0.104,-0.301,4.059,-2.1798,0.995,0.000,32502,0
GO:0040011,"locomotion",3.285%, 0.056,-0.139,3.460,-2.4711,0.995,0.000,40011,0
GO:0043085,"positive regulation of catalytic activity",3.352%, 2.789,-1.432,3.469,-1.8784,0.871,0.000,43085,0
GO:0051345,"positive regulation of hydrolase activity",2.284%,null,null,3.302,-1.5902,0.874,0.873,43085,1
GO:0044093,"positive regulation of molecular function",3.848%,null,null,3.529,-1.7165,0.909,0.784,43085,1
GO:0050896,"response to stimulus",47.248%,-0.077,-0.657,4.618,-1.9910,0.997,0.000,50896,0
GO:0065007,"biological regulation",51.216%, 0.010,-0.380,4.653,-2.1273,0.997,0.000,65007,0
GO:0071593,"lymphocyte aggregation",0.003%, 0.154,-0.597,0.602,-1.7445,0.974,0.013,71593,0
GO:0010463,"mesenchymal cell proliferation",0.222%,-0.573, 0.220,2.292,-4.7212,0.903,0.019,10463,0
GO:2000648,"positive regulation of stem cell proliferation",0.132%,null,null,2.068,-4.2676,0.813,0.835,10463,1
GO:0010464,"regulation of mesenchymal cell proliferation",0.092%,null,null,1.914,-3.8239,0.832,0.890,10463,1
GO:0072091,"regulation of stem cell proliferation",0.230%,null,null,2.307,-3.4089,0.824,0.873,10463,1
