term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",29.354%,-0.935,-0.168,4.411,-1.8182,0.996,0.000,2376,0
GO:0003013,"circulatory system process",1.113%,-8.294, 0.720,2.990,-4.1938,0.829,0.000,3013,0
GO:0009605,"response to external stimulus",4.459%, 0.557, 0.914,3.593,-3.4815,0.949,0.000,9605,0
GO:0023052,"signaling",17.329%,-1.463,-0.417,4.182,-2.1599,0.995,0.000,23052,0
GO:0040011,"locomotion",3.285%,-0.536,-0.213,3.460,-2.6421,0.994,0.000,40011,0
GO:0044699,"single-organism process",71.655%,-1.558,-0.203,4.799,-2.3893,0.998,0.000,44699,0
GO:0050896,"response to stimulus",47.248%,-1.361,-0.417,4.618,-4.3372,0.997,0.000,50896,0
GO:0051704,"multi-organism process",4.431%,-1.302,-0.395,3.590,-1.7247,0.995,0.000,51704,0
GO:0051923,"sulfation",0.030%,-0.064,-2.307,1.431,-4.0555,0.924,0.000,51923,0
GO:0044272,"sulfur compound biosynthetic process",0.311%,null,null,2.438,-1.7345,0.899,0.700,51923,1
GO:0065007,"biological regulation",51.216%,-0.791,-0.298,4.653,-1.8752,0.997,0.000,65007,0
GO:2001286,"regulation of caveolin-mediated endocytosis",0.010%, 2.560, 3.585,1.000,-3.8539,0.812,0.024,2001286,0
GO:2001287,"negative regulation of caveolin-mediated endocytosis",0.005%,null,null,0.699,-1.9245,0.805,0.904,2001286,1
GO:2001288,"positive regulation of caveolin-mediated endocytosis",0.005%,null,null,0.699,-1.9245,0.816,0.919,2001286,1
GO:0048260,"positive regulation of receptor-mediated endocytosis",0.052%,null,null,1.672,-1.6770,0.790,0.826,2001286,1
GO:0006928,"cellular component movement",3.830%, 0.602,-0.564,3.527,-2.6421,0.912,0.037,6928,0
GO:0006629,"lipid metabolic process",3.159%, 1.348,-6.165,3.443,-3.6383,0.892,0.047,6629,0
GO:0023057,"negative regulation of signaling",2.197%, 4.682, 1.133,3.285,-2.6383,0.846,0.054,23057,0
GO:0055078,"sodium ion homeostasis",0.081%,-4.648,-0.503,1.857,-2.0670,0.898,0.060,55078,0
GO:0006883,"cellular sodium ion homeostasis",0.018%,null,null,1.230,-1.6260,0.876,0.768,55078,1
GO:0002268,"follicular dendritic cell differentiation",0.005%,-4.535, 0.396,0.699,-1.6260,0.908,0.065,2268,0
GO:0006790,"sulfur compound metabolic process",0.742%,-0.544,-2.030,2.814,-3.0132,0.925,0.077,6790,0
GO:0009812,"flavonoid metabolic process",0.019%,-0.548,-0.250,1.255,-2.5467,0.958,0.081,9812,0
GO:1901616,"organic hydroxy compound catabolic process",0.134%,-0.096,-2.560,2.076,-2.9431,0.911,0.096,1901616,0
GO:0006066,"alcohol metabolic process",0.738%,null,null,2.812,-2.0773,0.868,0.771,1901616,1
GO:0018958,"phenol-containing compound metabolic process",0.269%,null,null,2.375,-1.9897,0.903,0.821,1901616,1
GO:0065008,"regulation of biological quality",7.337%, 0.096,-0.111,3.809,-2.6556,0.937,0.102,65008,0
GO:0044763,"single-organism cellular process",45.302%,-0.077,-0.799,4.599,-3.3872,0.921,0.103,44763,0
GO:0006935,"chemotaxis",1.276%, 2.432, 5.833,3.050,-3.4815,0.772,0.106,6935,0
GO:0030334,"regulation of cell migration",1.088%,null,null,2.980,-1.7528,0.715,0.864,6935,1
GO:0008045,"motor neuron axon guidance",0.065%,null,null,1.763,-1.8207,0.671,0.736,6935,1
GO:2000145,"regulation of cell motility",1.154%,null,null,3.006,-1.6211,0.716,0.960,6935,1
GO:0042330,"taxis",1.276%,null,null,3.050,-3.4815,0.833,0.757,6935,1
GO:0048870,"cell motility",2.570%,null,null,3.353,-2.1500,0.768,0.964,6935,1
GO:0060326,"cell chemotaxis",0.401%,null,null,2.548,-2.7282,0.697,0.872,6935,1
GO:0016477,"cell migration",2.372%,null,null,3.319,-2.3851,0.770,0.815,6935,1
GO:0009607,"response to biotic stimulus",1.599%,-0.209, 0.308,3.147,-2.5784,0.954,0.109,9607,0
GO:0009611,"response to wounding",2.056%,-1.502, 0.434,3.256,-2.6536,0.944,0.113,9611,0
